name,measure,details
SQL, Abandon Type (selective rescue), Abandon instances: 'Embedded SQL' 'Cubes (OLAP server)' 'SQream DB' 'SQuirreL SQL Client' 'HSQLDB' 'Skyline operator' 'Database Console Commands (Transact-SQL)' 'COMMIT (SQL)' 'SQL/OLB' 'Cardinality (SQL statements)' 'Hierarchical and recursive queries in SQL' 'Structured type' 'Hint (SQL)' 'Data control language' 'Correlated subquery' 'SQL/CLI' 'Rollback (data management)' 'Declarative Referential Integrity' 'SQL Database Studio' 'SQL/Schemata' 'Table (database)' 'Prepared statement' 'Nested SQL' 'Call Level Interface' 'SQL CLR' 'SQL Server Agent' 'Windows Internal Database' 'SQL Access Group' 'Alias (SQL)' 'Query plan' 'User-defined function' 'Varchar' 'Check constraint' 'SQL injection' 'SQL compliance' 'Condition (SQL)' 'Query optimization' 'Cursor (databases)' 'View (SQL)' 'Foreign key' 'SQL problems requiring cursors' 'Commit (data management)' 'Object-PL/SQL';Abandon subtypes:'SQL data access''SQL keywords';Remove instances: 'Cerner CCL';
Scala (programming language), Abandon Type (selective rescue), Abandon instances: 'ND4S' 'Deeplearning4j' 'Lift (web framework)' 'SBT (software)' 'Martin Odersky';Abandon subtypes:'Free software programmed in Scala';Remove instances:;
Scalable Vector Graphics, Abandon Type (selective rescue), Abandon instances: 'SXBL' 'Ikivo Animator' 'SVG filter effects' 'Comparison of layout engines (Scalable Vector Graphics)' 'SVG animation' 'Inkscape' 'Openclipart' 'Sodipodi' 'SVG Working Group' 'GPAC Project on Advanced Content' 'Librsvg' 'Batik (software)' 'Renesis Player' 'SVG-edit';Abandon subtypes:;Remove instances:;
Scheme (programming language), Abandon Type (selective rescue), Abandon instances: 'SLIB' 'SLIME' 'The Structure and Interpretation of the Computer Science Curriculum' 'Tail call' 'Structure and Interpretation of Computer Programs' 'XLISP' 'Teach Yourself Scheme in Fixnum Days' 'Call-with-current-continuation' 'Tail recursion' 'Scheme Requests for Implementation' 'History of the Scheme programming language';Abandon subtypes:'Scheme (programming language) implementations';Remove instances: 'SXML' 'Document Style Semantics and Specification Language';
Semantic HTML, Abandon Type (selective rescue), Abandon instances: 'Opera Show Format' 'XHTML Friends Network' 'Microdata (HTML)' 'Microformat';Abandon subtypes:;Remove instances:;
Social Desktop, Abandon Type (rescue none),
Structured English, no issue,
SyncML, Abandon Type (selective rescue), Abandon instances: 'The SyncML Initiative' 'SyncEvolution' 'Yahoo! Calendar';Abandon subtypes:;Remove instances:;
Systems Modeling Language, no issue,
TYPO3, Abandon Type (rescue none),
TeX, Abandon Type (selective rescue), Abandon instances: 'Grapher' 'ShareLaTeX' 'TUGboat' 'Collection of Computer Science Bibliographies' 'New Typesetting System' 'Computer Modern' 'Template:LaTeX navbox' 'LaTeX Project Public License' 'Computers and Typesetting' 'Template:TeX navbox' 'AMS-LaTeX' 'LuaTeX' 'XeTeX' 'CTAN' 'Deutschsprachige Anwendervereinigung TeX' 'The PracTeX Journal' 'Lucida' 'AMS Euler' 'Concrete Roman' 'Cork encoding';Abandon subtypes:'Free TeX software''Linux TeX software''TeX editors''TeX software for OS X''TeX software for Windows';Remove instances:;
Temporal logic, no issue,
Text Encoding Initiative, Abandon Type (selective rescue), Abandon instances: 'Xaira' 'Women Writers Project' 'The SWORD Project' 'Biografisch Portaal' 'Perseus Project' 'British National Corpus' 'Oxford Text Archive' 'FreeDict' 'New Zealand Electronic Text Centre' 'Digital Medievalist';Abandon subtypes:;Remove instances:;
Translatewiki.net, Abandon Type (rescue none),
Troff, Abandon Type (rescue none),
